cell_file,Point,Target time,Recorded time,volt(V),% change vs end
PR_LFP_SelfDischarge_REPT_150_0334_0_100,End + 5 min,2025-11-14 16:08:38.213,2025-11-14 16:08:38.776,3.536045,-3.1225325464148423
PR_LFP_SelfDischarge_REPT_150_0334_0_100,End + 1 hr,2025-11-14 17:03:38.213,2025-11-14 17:03:38.637,3.448849,-5.511452272290168
PR_LFP_SelfDischarge_REPT_150_0334_0_100,End + 24 hr,2025-11-15 16:03:38.213,2025-11-15 16:03:38.935,3.380116,-7.3945388762466395
PR_LFP_SelfDischarge_REPT_150_0335_0_100,End of charge,2025-11-14 16:00:48.893,2025-11-14 16:00:48.893,3.65001,0.0
PR_LFP_SelfDischarge_REPT_150_0335_0_100,End + 5 min,2025-11-14 16:05:48.893,2025-11-14 16:05:49.605,3.548458,-2.7822389527699887
PR_LFP_SelfDischarge_REPT_150_0335_0_100,End + 1 hr,2025-11-14 17:00:48.893,2025-11-14 17:00:49.812,3.486665,-4.475193218648718
PR_LFP_SelfDischarge_REPT_150_0335_0_100,End + 24 hr,2025-11-15 16:00:48.893,2025-11-15 16:00:49.374,3.436435,-5.8513538319073115
PR_LFP_SelfDischarge_REPT_150_0336_0_100,End of charge,2025-11-14 16:04:04.022,2025-11-14 16:04:04.022,3.650014,0.0
PR_LFP_SelfDischarge_REPT_150_0336_0_100,End + 5 min,2025-11-14 16:09:04.022,2025-11-14 16:09:04.524,3.538219,-3.0628649643535697
PR_LFP_SelfDischarge_REPT_150_0336_0_100,End + 1 hr,2025-11-14 17:04:04.022,2025-11-14 17:04:04.385,3.454868,-5.34644524651139
PR_LFP_SelfDischarge_REPT_150_0336_0_100,End + 24 hr,2025-11-15 16:04:04.022,2025-11-15 16:04:04.405,3.402084,-6.792576686007237
PR_LFP_SelfDischarge_REPT_150_0337_0_100,End of charge,2025-11-14 16:03:10.977,2025-11-14 16:03:10.977,3.65002,0.0
PR_LFP_SelfDischarge_REPT_150_0337_0_100,End + 5 min,2025-11-14 16:08:10.977,2025-11-14 16:08:11.259,3.534044,-3.1774072470835737
PR_LFP_SelfDischarge_REPT_150_0337_0_100,End + 1 hr,2025-11-14 17:03:10.977,2025-11-14 17:03:11.134,3.437917,-5.811009254743808
PR_LFP_SelfDischarge_REPT_150_0337_0_100,End + 24 hr,2025-11-15 16:03:10.977,2025-11-15 16:03:11.090,3.368444,-7.714368688390744
